function_name,calls,min_microseconds,max_microseconds,average_microseconds,total_microseconds
"void __cdecl OpenRCT2::Weather::update(void)",1200,0.1,0.7,0.081,97.2
"void __cdecl OpenRCT2::Weather::updateSound(void)",1200,0.1,0.8,0.171333333333,205.6
"void __cdecl Vehicle::UpdateSound(const struct Ride &,const struct RideObjectEntry &)",1164000,0.1,68.5,0.0335426975945,39043.7
"class std::optional<struct OpenRCT2::MapPathRouteCache::`anonymous namespace'::FrozenGraph> __cdecl OpenRCT2::MapPathRouteCache::`anonymous-namespace'::FreezeGraph(void)",0,0,0,0,0
"struct OpenRCT2::MapPathRouteCache::`anonymous-namespace'::RouteField __cdecl OpenRCT2::MapPathRouteCache::`anonymous-namespace'::BuildField(const struct OpenRCT2::MapPathRouteCache::`anonymous-namespace'::FrozenGraph &,const struct OpenRCT2::MapPathRouteCache::RouteTarget &)",0,0,0,0,0
"void __cdecl OpenRCT2::MapPathRouteCache::Prepare(class std::span<struct OpenRCT2::MapPathRouteCache::RouteTarget const ,-1>)",0,0,0,0,0
"void __cdecl PaintSessionArrange(struct PaintSessionCore &)",15704,6.8,1107.8,16.4785404992,258779
"void __cdecl PaintDrawStructs(struct PaintSession &)",15704,10.5,232.5,18.1596917983,285179.8
"void __cdecl AwardUpdateAll(void)",0,0,0,0,0
"void __cdecl MarketingUpdate(void)",2,0.1,0.2,0.15,0.3
"void __cdecl VirtualFloorInvalidate(bool)",782,0.1,0.4,0.0516624040921,40.4
"void __cdecl VirtualFloorPaint(struct PaintSession &)",0,0,0,0,0
"int __cdecl Vehicle::UpdateTrackMotion(int *)",748953,0.1,145,0.299894786455,224607.1
"void __cdecl Vehicle::UpdateMovingToEndOfStation(void)",94864,0.1,21.1,0.237888977905,22567.1
"void __cdecl Vehicle::UpdateWaitingForPassengers(void)",184768,0.1,5,0.0750308494977,13863.3
"void __cdecl Vehicle::UpdateWaitingToDepart(void)",48174,0,2.7,0.0254431851206,1225.7
"void __cdecl Vehicle::UpdateUnloadingPassengers(void)",14441,0,4.4,0.142663250467,2060.2
"void __cdecl Vehicle::UpdateDeparting(void)",35629,0.2,35.9,0.546911224003,19485.9
"void __cdecl Vehicle::UpdateTravelling(void)",549381,0.1,145.1,0.349511541171,192015
"void __cdecl Vehicle::UpdateArriving(void)",70194,0.1,81.7,0.416029860102,29202.8
"void __cdecl PathPaintFencesAndQueueBanners(struct PaintSession &,const struct OpenRCT2::PathElement &,unsigned short,unsigned int,bool,const struct FootpathPaintInfo &,struct ImageId)",0,0,0,0,0
"void __cdecl PathPaintFencesAdditionsTunnels(struct PaintSession &,const struct OpenRCT2::PathElement &,unsigned short,unsigned short,const struct FootpathPaintInfo &,struct ImageId,struct ImageId,bool)",289316,0,1209.9,0.054784042362,15849.9
"void __cdecl PaintHeightMarkers(struct PaintSession &,const struct OpenRCT2::PathElement &)",289316,0,1079,0.0527488973994,15261.1
"void __cdecl PaintPath(struct PaintSession &,unsigned short,const struct OpenRCT2::PathElement &)",289316,0.2,1351.7,0.774263089494,224006.7
"void __cdecl PathPaintBoxSupport(struct PaintSession &,const struct OpenRCT2::PathElement &,int,const struct FootpathPaintInfo &,bool,struct ImageId,struct ImageId)",50132,0.1,1259,0.379528045959,19026.5
"void __cdecl PathPaintPoleSupport(struct PaintSession &,const struct OpenRCT2::PathElement &,short,const struct FootpathPaintInfo &,bool,struct ImageId,struct ImageId)",239184,0.2,1210.3,0.310977740986,74380.9
"void __cdecl TileElementPaintSetup(struct PaintSession &,const struct CoordsXY &,bool)",3140800,0.1,1431.5,0.849797089913,2669042.7
"void __cdecl PaintTileElementBase(struct PaintSession &,const struct CoordsXY &)",3140800,0.1,1383.7,0.695251814824,2183646.9
"void __cdecl EntityPaintSetup(struct PaintSession &,const struct CoordsXY &)",6281600,0,1213.8,0.368144772033,2312538.2
"void __cdecl PaintLampLightEffects(struct PaintSession &,const struct OpenRCT2::PathElement &,unsigned short)",289316,0.1,74.6,0.0623446335495,18037.3
"void __cdecl ViewportSurfaceSmoothenEdge(struct PaintSession &,const enum edge_t,const struct TileDescriptor &,const struct TileDescriptor &)",0,0,0,0,0
"void __cdecl ViewportSurfaceDrawTileSideBottom(struct PaintSession &,enum edge_t,unsigned short,const class OpenRCT2::TerrainEdgeObject *,const struct TileDescriptor &,const struct TileDescriptor &,bool)",3070736,0,1246.3,0.0647878554197,198946.4
"void __cdecl ViewportSurfaceDrawTileSideTop(struct PaintSession &,enum edge_t,unsigned short,const class OpenRCT2::TerrainEdgeObject *,const struct TileDescriptor &,const struct TileDescriptor &,bool)",3070736,0,1318.5,0.059505115386,182724.5
"void __cdecl PaintSurface(struct PaintSession &,unsigned char,unsigned short,const struct OpenRCT2::SurfaceElement &)",1515436,0.2,1358.9,0.836021580588,1266937.2
"void __cdecl PaintBannerScrollingText(struct PaintSession &,const struct OpenRCT2::BannerSceneryEntry &,struct Banner &,const struct OpenRCT2::BannerElement &,unsigned char,int,const struct CoordsXYZ &)",0,0,0,0,0
"void __cdecl PaintBanner(struct PaintSession &,unsigned char,int,const struct OpenRCT2::BannerElement &)",0,0,0,0,0
"void __cdecl PaintRideEntranceExitScrollingText(struct PaintSession &,const struct OpenRCT2::EntranceElement &,const class OpenRCT2::StationObject &,unsigned char,int)",33220,0.1,1363.7,2.09080373269,69456.5
"void __cdecl PaintRideEntranceExitLightEffects(struct PaintSession &,int,const struct OpenRCT2::EntranceElement &)",33220,0,6.9,0.0527152317881,1751.2
"void __cdecl PaintRideEntranceExit(struct PaintSession &,unsigned char,int,const struct OpenRCT2::EntranceElement &)",33220,0.1,1366.9,2.53943708609,84360.1
