function_name,calls,min_microseconds,max_microseconds,average_microseconds,total_microseconds
"class std::optional<struct OpenRCT2::MapPathRouteCache::`anonymous namespace'::FrozenGraph> __cdecl OpenRCT2::MapPathRouteCache::`anonymous-namespace'::FreezeGraph(void)",0,0,0,0,0
"struct OpenRCT2::MapPathRouteCache::`anonymous-namespace'::RouteField __cdecl OpenRCT2::MapPathRouteCache::`anonymous-namespace'::BuildField(const struct OpenRCT2::MapPathRouteCache::`anonymous-namespace'::FrozenGraph &,const struct OpenRCT2::MapPathRouteCache::RouteTarget &)",0,0,0,0,0
"void __cdecl OpenRCT2::MapPathRouteCache::Prepare(class std::span<struct OpenRCT2::MapPathRouteCache::RouteTarget const ,-1>)",0,0,0,0,0
"void __cdecl PaintSessionArrange(struct PaintSessionCore &)",15704,6.7,1157,16.3326477331,256487.9
"void __cdecl PaintDrawStructs(struct PaintSession &)",15704,10.7,582.2,18.0810494142,283944.8
"void __cdecl AwardUpdateAll(void)",0,0,0,0,0
"void __cdecl MarketingUpdate(void)",2,0.1,0.2,0.15,0.3
"void __cdecl VirtualFloorInvalidate(bool)",713,0,0.4,0.0511921458626,36.5
"void __cdecl VirtualFloorPaint(struct PaintSession &)",0,0,0,0,0
"int __cdecl Vehicle::UpdateTrackMotion(int *)",748953,0.1,139.1,0.302477592052,226541.5
"void __cdecl Vehicle::UpdateMovingToEndOfStation(void)",94864,0.1,35,0.246452816664,23379.5
"void __cdecl Vehicle::UpdateWaitingForPassengers(void)",184768,0,29,0.0766003853481,14153.3
"void __cdecl Vehicle::UpdateWaitingToDepart(void)",48174,0,4.4,0.0248121393283,1195.3
"void __cdecl Vehicle::UpdateUnloadingPassengers(void)",14441,0.1,9,0.145176926806,2096.5
"void __cdecl Vehicle::UpdateDeparting(void)",35629,0.2,139.2,0.557043419686,19846.9
"void __cdecl Vehicle::UpdateTravelling(void)",549381,0.1,138.3,0.351579322911,193151
"void __cdecl Vehicle::UpdateArriving(void)",70194,0.1,51.8,0.419513063795,29447.3
"void __cdecl PathPaintFencesAndQueueBanners(struct PaintSession &,const struct OpenRCT2::PathElement &,unsigned short,unsigned int,bool,const struct FootpathPaintInfo &,struct ImageId)",0,0,0,0,0
"void __cdecl PathPaintFencesAdditionsTunnels(struct PaintSession &,const struct OpenRCT2::PathElement &,unsigned short,unsigned short,const struct FootpathPaintInfo &,struct ImageId,struct ImageId,bool)",289316,0.1,267.6,0.0492202297834,14240.2
"void __cdecl PaintHeightMarkers(struct PaintSession &,const struct OpenRCT2::PathElement &)",289316,0,11.3,0.046662472867,13500.2
"void __cdecl PaintPath(struct PaintSession &,unsigned short,const struct OpenRCT2::PathElement &)",289316,0.2,1304.9,0.75425555448,218218.2
"void __cdecl PathPaintBoxSupport(struct PaintSession &,const struct OpenRCT2::PathElement &,int,const struct FootpathPaintInfo &,bool,struct ImageId,struct ImageId)",50132,0.1,231.4,0.32671746589,16379
"void __cdecl PathPaintPoleSupport(struct PaintSession &,const struct OpenRCT2::PathElement &,short,const struct FootpathPaintInfo &,bool,struct ImageId,struct ImageId)",239184,0.1,268,0.300576125493,71893
"void __cdecl TileElementPaintSetup(struct PaintSession &,const struct CoordsXY &,bool)",3140800,0.1,1451.4,0.841729049924,2643702.6
"void __cdecl PaintTileElementBase(struct PaintSession &,const struct CoordsXY &)",3140800,0.1,1450.7,0.69161882323,2172236.4
"void __cdecl EntityPaintSetup(struct PaintSession &,const struct CoordsXY &)",6281600,0,1376.6,0.38700487137,2431009.8
"void __cdecl PaintLampLightEffects(struct PaintSession &,const struct OpenRCT2::PathElement &,unsigned short)",289316,0,9.8,0.0616889491076,17847.6
